Name,x,y,z,vx,vy,vz,En,Lz,Lperp,alpha,delta,met,age,age_error,apo,peri,zmax,circ,ecc,d_gc,labels
b'2MASS-GC03',10.083870765646546,-3.854164252813917,-0.3177550850424118,-50.95962255391269,-163.1663682305211,191.97091869551795,-190585.6268424268,0.8932876226311919,825.9383647836803,253.044,-47.058,nan,nan,nan,5.675862789154053,1.284283995628357,5.674353122711182,0.0009476002249732,0.6309606577733959,4.301687976062033,low_E
b'Arp2',26.48209923903008,3.926942360706618,-10.061686915714,239.1641782603044,-272.1109714136254,175.07058383045188,-84974.82526662598,1492.3128682498914,5867.469637923306,292.184,-30.356,-1.74,12.0,0.38,52.210933685302734,18.061492919921875,50.50691986083984,nan,0.48595789863960553,21.234254695654062,Sag
b'BH184',6.825949958261507,-4.155688061047715,-0.3696808171588268,-147.06307040859556,-248.40047609249007,-96.2188591082622,-200293.8238559072,559.3034060918525,375.1596680382692,242.765,-55.318000000000005,nan,nan,nan,4.658069610595703,2.096916437149048,1.6144704818725586,0.7245612745077128,0.37915003159802724,4.3925414835276495,disk
b'BH229',8.18440675944403,-0.383631515461332,0.3291091860032094,38.87739012890215,-281.02888943045866,-295.281679862329,-235301.6600523946,-19.74655991662903,123.1872274123308,262.772,-29.982,-1.57,nan,nan,2.0459542274475098,0.3782206177711487,1.998560905456543,-0.0637371824219076,0.6879592917836473,0.5056966928089303,bulge_apo
b'Crater',7.622228924571377,-97.02154172444747,107.48824153195886,3.8568539642289776,-157.86190162792712,57.15599225646285,-36625.2725069286,-1401.2302641669974,15620.24839581714,174.067,-10.877,nan,nan,nan,145.17245483398438,52.54966354370117,126.19063568115234,nan,0.4684493169011909,144.8006748797706,high_E
b'E1',-16.34198884881655,-80.00332790769995,-92.38667070610452,108.3965426656163,-291.5338376005181,78.46870180346932,-38249.61007210608,-10720.805921723411,14349.325041385417,58.76,-49.615,-1.84,nan,nan,139.17872619628906,67.92325592041016,111.17909240722656,nan,0.344059818006606,124.65207024803314,high_E
b'E3',2.8971994341644347,-7.091276549319373,-2.6324954586381364,-238.2348319135392,-138.73548856029913,96.75910191298982,-138397.47030724864,2170.1452900427284,1238.0287783982892,140.238,-77.282,-0.73,nan,nan,13.969470977783203,9.13594913482666,6.470203876495361,0.8129905267882682,0.20919428512440819,9.23774481568436,H99
b'ESO224-8',16.030472629139364,-9.902023507820063,1.477794890027857,-241.48902057565363,-380.6639819138454,-7.822846724948651,-123825.90763064774,3349.581754018333,394.77655501641584,234.781,-50.053,nan,nan,nan,18.82885360717773,12.333291053771973,2.1633543968200684,0.947007021529829,0.20844401513691574,12.710241889205507,disk
b'ESO280-06',20.34947286545107,-4.771039690367517,-4.593052837841992,11.35403515780904,-282.82470227302554,-90.14995130697224,-150167.4688981666,361.65470034081727,930.0402494816576,272.275,-46.423,nan,nan,nan,14.529568672180176,1.3256198167800903,11.575018882751465,0.1698089763032731,0.8327840986938629,13.837219554758912,GE
b'ESO452-11',8.027081467404635,-1.1577496368846296,1.765100250394461,7.3942362989319825,-235.5969896845139,-111.0398496489502,-230895.16811568476,-19.91715869858658,105.9313706522563,249.856,-28.399,nan,nan,nan,2.381575584411621,0.1586547046899795,2.1962101459503174,-0.0562219949895164,0.8750863609723426,2.1179858201989963,bulge_apo
b'ESO456-38',6.288065497864172,0.2917472365383814,-0.2551780643833178,-148.85832627453405,-77.71472396078474,-53.703524649446365,-221777.10233980697,278.1948097363203,60.96978444157176,270.455,-27.826,nan,nan,nan,3.347050428390503,0.9215663075447084,0.6330046653747559,0.625976129837798,0.5682131404365577,1.950826961836332,bulge_apo
